,school,no_of_applicants,accept_rate,sat_25th_perc,sat_75th_perc,sat_median,sat_median_pct,act_25th_perc,act_75th_perc,act_median,act_median_pct,applicants_accepted
286,University of Washington--Bothell,4242,0.741,1038.0,1250.0,1144.0,62.0,19.0,28.0,23.5,65.28,3143
287,Adelphi University,13006,0.742,1080.0,1270.0,1175.0,64.58,22.0,27.0,24.5,68.06,9650
288,Baldwin Wallace University,3926,0.742,1030.0,1250.0,1140.0,61.67,21.0,27.0,24.0,66.67,2913
289,Michigan Technological University,5978,0.743,1170.0,1370.0,1270.0,72.5,25.0,30.0,27.5,76.39,4441
290,Drexel University,31824,0.747,1190.0,1390.0,1290.0,74.17,25.0,31.0,28.0,77.78,23772
291,University of Redlands,4713,0.75,1100.0,1250.0,1175.0,64.58,23.0,28.0,25.5,70.83,3534
292,Loyola University New Orleans,5857,0.75,1050.0,1260.0,1155.0,62.92,22.0,28.0,25.0,69.44,4392
293,California State University--Monterey Bay,12327,0.753,960.0,1170.0,1065.0,55.42,17.0,23.0,20.0,55.56,9282
294,Whittier College,6220,0.759,1030.0,1213.0,1121.5,60.12,20.0,25.0,22.5,62.5,4720
295,Kalamazoo College,3576,0.76,1170.0,1370.0,1270.0,72.5,25.0,31.0,28.0,77.78,2717
296,Towson University,12678,0.763,1060.0,1220.0,1140.0,61.67,20.0,25.0,22.5,62.5,9673
297,Centre College,2212,0.764,1130.0,1380.0,1255.0,71.25,26.0,32.0,29.0,80.56,1689
298,University of Texas San Antonio,17122,0.7659999999999999,1030.0,1220.0,1125.0,60.42,19.0,25.0,22.0,61.11,13115
299,James Madison University,23578,0.768,1120.0,1290.0,1205.0,67.08,23.0,28.0,25.5,70.83,18107
300,Appalachian State University,16664,0.768,1100.0,1270.0,1185.0,65.42,22.0,28.0,25.0,69.44,12797
301,Indiana University—​Bloomington,44169,0.769,1150.0,1360.0,1255.0,71.25,24.0,31.0,27.5,76.39,33965
302,High Point University,10098,0.769,1090.0,1250.0,1170.0,64.17,22.0,27.0,24.5,68.06,7765
303,Virginia Commonwealth University,18622,0.7709999999999999,1070.0,1260.0,1165.0,63.75,21.0,28.0,24.5,68.06,14357
304,University of Arkansas—​Fayetteville,17913,0.7709999999999999,1120.0,1300.0,1210.0,67.5,23.0,30.0,26.5,73.61,13810
305,John Brown University,1094,0.7709999999999999,1060.0,1365.0,1212.5,67.71,23.0,30.0,26.5,73.61,843
306,University of Idaho,8071,0.778,1010.0,1240.0,1125.0,60.42,20.0,27.0,23.5,65.28,6279
307,University of Missouri,18948,0.778,1090.0,1290.0,1190.0,65.83,23.0,29.0,26.0,72.22,14741
308,Willamette University,3972,0.779,1140.0,1340.0,1240.0,70.0,31.0,35.0,33.0,91.67,3094
309,University of Nebraska—​Lincoln,16829,0.782,1120.0,1360.0,1240.0,70.0,22.0,28.0,25.0,69.44,13160
310,Carroll College,2709,0.7829999999999999,1070.0,1270.0,1170.0,64.17,22.0,28.0,25.0,69.44,2121
311,College of Charleston,11783,0.7829999999999999,1080.0,1260.0,1170.0,64.17,22.0,28.0,25.0,69.44,9226
312,University of Colorado—​Boulder,40740,0.784,1140.0,1350.0,1245.0,70.42,25.0,31.0,28.0,77.78,31940
313,Elon University,10500,0.784,1160.0,1320.0,1240.0,70.0,25.0,30.0,27.5,76.39,8232
314,Seattle University,7968,0.785,1160.0,1330.0,1245.0,70.42,24.0,30.0,27.0,75.0,6254
315,University of Texas—​Dallas,14327,0.7859999999999999,1240.0,1460.0,1350.0,79.17,26.0,33.0,29.5,81.94,11261
316,East Carolina,19234,0.787,1030.0,1190.0,1110.0,59.17,19.0,24.0,21.5,59.72,15137
317,University of Tennessee,21764,0.7879999999999999,1150.0,1330.0,1240.0,70.0,24.0,30.0,27.0,75.0,17150
318,University of Texas Arlington,12335,0.795,1060.0,1260.0,1160.0,63.33,20.0,26.0,23.0,63.89,9806
319,Pacific Lutheran University,3740,0.7979999999999999,1070.0,1270.0,1170.0,64.17,20.0,28.0,24.0,66.67,2984
320,Western Michigan,17698,0.799,1000.0,1210.0,1105.0,58.75,19.0,26.0,22.5,62.5,14140
321,Loyola University Maryland,10077,0.802,1143.0,1320.0,1231.5,69.29,25.0,30.0,27.5,76.39,8081
322,Miami University—​Oxford,28920,0.804,1210.0,1410.0,1310.0,75.83,26.0,31.0,28.5,79.17,23251
323,Goucher College,3154,0.804,1040.0,1290.0,1165.0,63.75,22.0,29.0,25.5,70.83,2535
324,University of Oklahoma,15673,0.804,1130.0,1310.0,1220.0,68.33,23.0,29.0,26.0,72.22,12601
325,Auburn University,20205,0.807,1150.0,1320.0,1235.0,69.58,25.0,31.0,28.0,77.78,16305
326,University of Nevada—​Las Vegas,12720,0.807,1030.0,1250.0,1140.0,61.67,19.0,25.0,22.0,61.11,10265
327,Boise State,10788,0.8079999999999999,960.0,1180.0,1070.0,55.83,21.0,26.0,23.5,65.28,8716
328,St. Mary's College of California,6069,0.81,1070.0,1240.0,1155.0,62.92,22.0,28.0,25.0,69.44,4915
329,Siena College,7728,0.8109999999999999,1070.0,1280.0,1175.0,64.58,22.0,28.0,25.0,69.44,6267
330,University of North Dakota,4964,0.8109999999999999,1010.0,1250.0,1130.0,60.83,20.0,26.0,23.0,63.89,4025
331,Texas State University,23583,0.8109999999999999,1010.0,1180.0,1095.0,57.92,19.3,25.3,22.3,61.94,19125
332,Colorado State University,28319,0.8140000000000001,1070.0,1290.0,1180.0,65.0,23.0,29.0,26.0,72.22,23051
333,University of Memphis,15381,0.8140000000000001,1010.0,1230.0,1120.0,60.0,19.0,26.0,22.5,62.5,12520
334,West Virginia University,18639,0.816,1050.0,1240.0,1145.0,62.08,21.0,27.0,24.0,66.67,15209
335,University of Oregon,27358,0.816,1100.0,1310.0,1205.0,67.08,22.0,28.0,25.0,69.44,22324
336,University of St. Thomas (MN),6819,0.8190000000000001,1130.0,1380.0,1255.0,71.25,24.0,29.0,26.5,73.61,5584
337,St. Mary's College (IN),1862,0.8190000000000001,1050.0,1260.0,1155.0,62.92,22.0,28.0,25.0,69.44,1524
338,Illinois State,16151,0.8190000000000001,1020.0,1220.0,1120.0,60.0,20.0,26.0,23.0,63.89,13227
339,Ohio University,24179,0.821,1050.0,1260.0,1155.0,62.92,21.0,26.0,23.5,65.28,19850
340,California State University--Sacramento,27576,0.823,940.0,1140.0,1040.0,53.33,16.0,22.0,19.0,52.78,22695
341,University of North Carolina—​Greensboro,9972,0.8240000000000001,1000.0,1160.0,1080.0,56.67,19.0,24.0,21.5,59.72,8216
342,University of Iowa,25928,0.826,1130.0,1340.0,1235.0,69.58,22.0,29.0,25.5,70.83,21416
343,St. Michael's College,4040,0.826,1140.0,1320.0,1230.0,69.17,25.0,29.0,27.0,75.0,3337
344,University of Alaska Anchorage,3673,0.83,1020.0,1220.0,1120.0,60.0,17.0,24.0,20.5,56.94,3048
345,Marquette University,15078,0.83,1120.0,1320.0,1220.0,68.33,24.0,29.0,26.5,73.61,12514
346,College of St. Benedict,1931,0.8340000000000001,990.0,1210.0,1100.0,58.33,22.0,27.0,24.5,68.06,1610
